FIRST NAME LAST NAME MIDDLE NAME 
Варвара Мироновна Аксенова
Федор Ермилович Веселов
Савелий Захарьевич Виноградов
Аникита Ааронович Горбунов
Пелагея Святославовна Князева
Лукия Николаевна Зимина
Шашков Милован Жанович
Всемил Феликсович Алексеев
Алла Леоновна Степанова
Данила Богданович Шестаков
Шубина Жанна Игоревна
Ананий Вилорович Симонов
Матвеева Феврония Юрьевна
Горбачев Гурий Ааронович
Уварова Анжелика Феликсовна
Шаров Юрий Архипович
Аскольд Елизарович Горшков
Денисова Анна Мироновна
Юдин Аристарх Анисимович
Воронова Ия Эдуардовна
Борисова Вера Аркадьевна
Волкова Зоя Артемовна
Анна Рубеновна Шарова
Юлий Жоресович Сафонов
Зимин Андроник Дмитриевич
Потапова Лукия Ждановна
Мечислав Федотович Мухин
Ия Романовна Пономарева
Октябрина Леоновна Александрова
Андреев Ладислав Егорович
Лариса Леонидовна Белякова
Боброва Евгения Рудольфовна
Людмила Львовна Кулакова
Авдей Тимурович Симонов
Тимур Измаилович Карпов
Октябрина Михайловна Боброва
Валентина Андреевна Князева
Лавр Августович Щукин
Андреева Евфросиния Вячеславовна
Раиса Яковлевна Ларионова
Шубин Епифан Викентьевич
Воробьев Мариан Фомич
Галкина Ирина Кирилловна
Маргарита Ждановна Тимофеева
Софрон Бориславович Мамонтов
Самойлов Лаврентий Жоресович
Радим Давыдович Куликов
Белова Евгения Сергеевна
Любомир Валентинович Фомин
Глафира Ильинична Шарапова
Фаина Валентиновна Громова
Комиссаров Лонгин Ааронович
Некрасова Эмилия Богдановна
Логинова Дарья Геннадиевна
Беспалова Раиса Вадимовна
Давыд Яковлевич Морозов
Екатерина Вадимовна Пахомова
Алла Даниловна Блинова
Якушева Милица Даниловна
Кузьмин Евгений Елисеевич
Тихон Игнатович Бирюков
Симон Антипович Миронов
Анжелика Олеговна Турова
Ульян Валерьевич Копылов
Наина Борисовна Елисеева
Журавлева Людмила Рудольфовна
Антонова Елизавета Дмитриевна
Шарова Ангелина Оскаровна
Денис Алексеевич Михеев
Кононов Флорентин Трифонович
Пахомов Автоном Ярославович
Рыбакова Эмилия Кузьминична
тов. Одинцов Ефим Богданович
Красильникова Регина Тимофеевна
Самсонова Октябрина Кузьминична
Трофимов Гаврила Жоресович
Анисим Ильясович Самойлов
Тихонова Нонна Ильинична
Исаев Валентин Матвеевич
Носкова Эмилия Валентиновна
Рябова Феврония Рубеновна
Фролова Феврония Богдановна
Колобов Ерофей Терентьевич
Селиверстова Зинаида Павловна
Мокей Антонович Блохин
Алла Святославовна Игнатова
Леонтий Еремеевич Комаров
Гурьева Наталья Вениаминовна
Комарова Маргарита Павловна
Денис Изотович Третьяков
Воронов Федор Аксёнович
Элеонора Максимовна Владимирова
Кононов Дмитрий Юльевич
Воронов Евграф Бориславович
Оксана Оскаровна Авдеева
Воронова Елена Максимовна
Емельянова Алевтина Вадимовна
Фадеева Вероника Петровна
Шашков Милован Артурович
Селиван Валерьянович Афанасьев
